,Daily average,weekly average,monthly average,long term average,mid term average,short term average
2019-02-13,-0.0063926943005181355,,,,,
2019-02-14,0.015410136157337367,,,,,
2019-02-15,-0.019692637711864407,,,,,
2019-02-16,-0.006997247191011236,,,,,
2019-02-17,0.004255194428322692,,,,,
2019-02-18,-0.002240104166666667,,,,,
2019-02-19,0.0018914302258251298,-0.013115629677005426,,,,-0.013115629677005426
2019-02-20,0.0018914302258251298,-0.00724803123716475,,,,-0.00724803123716475
2019-02-21,-0.008302875215641175,-0.00718192239052525,,,,-0.00718192239052525
2019-02-22,-0.011607826576576578,-0.0050451840653622185,,,,-0.0050451840653622185
2019-02-23,-0.00035590729225551236,-0.008866297104141732,,,,-0.008866297104141732
2019-02-24,-0.010991379310344827,-0.018130281881172827,,,,-0.018130281881172827
2019-02-25,-0.010991379310344827,-0.024926875270888868,,,,-0.024926875270888868
2019-02-26,0.009926209120221095,-0.02399802913392801,,,,-0.02399802913392801
2019-02-27,0.005965518575851392,-0.02092699215042027,,,,-0.02092699215042027
2019-02-28,0.007405635838150288,-0.010035998995746255,,,,-0.010035998995746255
2019-03-01,-0.0031384041331802537,0.003490363976894809,,,,0.003490363976894809
2019-03-02,-0.01295977488151659,0.0059117220249020365,,,,0.0059117220249020365
2019-03-03,-0.0075959483264826785,0.003362356880299018,,,,0.003362356880299018
2019-03-04,-0.010901146650573327,-0.00836295767360868,,,,-0.00836295767360868
2019-03-05,0.005809369024856595,-0.019814572732298308,,,,-0.019814572732298308
2019-03-06,-0.0013205199115044258,-0.022634878048050477,,,,-0.022634878048050477
2019-03-07,-0.0013205199115044258,-0.020495959534474566,,,,-0.020495959534474566
2019-03-08,-0.012846899224806203,-0.014266783542275972,,,,-0.014266783542275972
2019-03-09,-0.0391482280431433,-0.02151395010658656,,,,-0.02151395010658656
2019-03-10,-0.029578817451205514,-0.038735504798325465,,,,-0.038735504798325465
2019-03-11,-0.018400233508464686,-0.061795844993048986,,,,-0.061795844993048986
2019-03-12,-0.01847583854462763,-0.08577698187416966,,,,-0.08577698187416966
2019-03-13,-0.011025790349417638,-0.09148811006485894,,,,-0.09148811006485894
2019-03-14,-0.013642307692307693,-0.08615053643089848,-0.07193227119215445,,,-0.08615053643089848
2019-03-15,0.005718031914893616,-0.0705134680418584,-0.08104228842247774,,,-0.0705134680418584
2019-03-16,-0.034445802469135804,-0.05746165580399,-0.0910937987230465,,,-0.05746165580399
2019-03-17,0.012491911410688492,-0.04556102754952647,-0.10094664350973456,,,-0.04556102754952647
2019-03-18,0.021219189511323004,-0.02892915243387973,-0.10919506621525152,,,-0.02892915243387973
2019-03-19,-0.015255718623481783,-0.02357028130866642,-0.11610296865145964,,,-0.02357028130866642
2019-03-20,-0.0018351485148514867,-0.006066255713754989,-0.12317394514184252,,,-0.006066255713754989
2019-03-21,0.007564680153089119,0.004326536626730074,-0.13036481631653574,,,0.004326536626730074
2019-03-22,-0.0060117843246247915,-0.0008037887926794903,-0.1372017596270245,,,-0.0008037887926794903
2019-03-23,-0.013289349112426036,-0.00019908419973126493,-0.14395129427598818,,,-0.00019908419973126493
2019-03-24,0.0019761418269230763,-0.006794220509910479,-0.14827528407634585,,,-0.006794220509910479
2019-03-25,0.014472386058981232,-0.010430622529216824,-0.1478679777098445,,,-0.010430622529216824
2019-03-26,-0.018115967969853982,-0.010285327000843513,-0.14476176356314766,,,-0.010285327000843513
2019-03-27,0.003966107382550334,-0.006317759726490051,-0.1404015652531777,,,-0.006317759726490051
2019-03-28,-0.012573571840738604,-0.006940443454495646,-0.1343970128385485,,,-0.006940443454495646
2019-03-29,0.0072888635065676746,-0.011085934297077663,-0.12639435324240755,,,-0.011085934297077663
2019-03-30,-0.0007990061162079522,-0.00787613876494087,-0.11720137486762694,,,-0.00787613876494087
2019-03-31,0.0018422934648581986,-0.009511160835971208,-0.10591619448744283,,,-0.009511160835971208
2019-04-01,0.002051002109704641,-0.003852611002475312,-0.09357425081803337,,,-0.003852611002475312
2019-04-02,-0.04799109792284867,-0.010218170888230113,-0.08569624117746283,,,-0.010218170888230113
2019-04-03,-0.021053024523160765,-0.025976475839134625,-0.08113383684351719,,,-0.025976475839134625
2019-04-04,-0.06322591259640103,-0.05747087882593091,-0.07841106519185857,,,-0.05747087882593091
2019-04-05,-0.03708045404208195,-0.10240428933828465,-0.07926417956692024,,,-0.10240428933828465
2019-04-06,-0.008712540540540542,-0.12369807014770727,-0.08183528814406718,,,-0.12369807014770727
2019-04-07,-0.012681699346405229,-0.13783551506120284,-0.08430504312618597,,,-0.13783551506120284
2019-04-08,-0.010668995098039216,-0.1225666790847931,-0.08853211167968435,,,-0.1225666790847931
2019-04-09,-0.008758231868713606,-0.09043442352709466,-0.09679422450761307,,,-0.09043442352709466
2019-04-10,0.007226934523809523,-0.0641369385488857,-0.1064637768183028,,,-0.0641369385488857
2019-04-11,-0.01698082750582751,-0.04100706690472121,-0.11674433725767588,,,-0.04100706690472121
2019-04-12,-0.024716715200931858,-0.03452835466087034,-0.12882437245319658,,,-0.03452835466087034
2019-04-13,0.002159143222506393,-0.03240085418755655,-0.1421262827604443,,-0.23342363021870693,-0.03240085418755655
2019-04-14,-0.010400126662444586,-0.03866498777689382,-0.15639969220096106,,-0.2359223651793463,-0.03866498777689382
2019-04-15,0.0198061629153269,-0.0346575917210869,-0.17138671194143315,,-0.23715644981968262,-0.0346575917210869
2019-04-16,0.022535445307830245,-0.0153252255123663,-0.18595369414805243,,-0.2370244196469269,-0.0153252255123663
