,Daily average,weekly average,monthly average,long term average,mid term average,short term average
2019-02-13,0.1927972972972973,,,,,
2019-02-14,0.32584107142857144,,,,,
2019-02-15,0.1261,,,,,
2019-02-16,0.2067904761904762,,,,,
2019-02-17,0.23591666666666666,,,,,
2019-02-18,0.17363499999999998,,,,,
2019-02-19,0.1960078125,0.8252422893540862,,,,0.8252422893540862
2019-02-20,0.2223090909090909,0.8193272206439394,,,,0.8193272206439394
2019-02-21,0.2123245283018868,0.7967342750002552,,,,0.7967342750002552
2019-02-22,0.21921142857142858,0.8235869543565711,,,,0.8235869543565711
2019-02-23,0.357645,0.873371977462887,,,,0.873371977462887
2019-02-24,0.22872,0.9208800741622764,,,,0.9208800741622764
2019-02-25,0.24559090909090908,0.9826028006501164,,,,0.9826028006501164
2019-02-26,0.24095,1.038366062852242,,,,1.038366062852242
2019-02-27,0.4128430769230769,1.067519547410137,,,,1.067519547410137
2019-02-28,0.0827,1.0585653046953047,,,,1.0585653046953047
2019-03-01,0.3010909090909091,1.0551694667832168,,,,1.0551694667832168
2019-03-02,0.25701052631578947,1.0503541175929334,,,,1.0503541175929334
2019-03-03,0.152455,0.9666422299411115,,,,0.9666422299411115
2019-03-04,0.3803375,0.9938447172892897,,,,0.9938447172892897
2019-03-05,0.19453809523809523,0.9805340011742643,,,,0.9805340011742643
2019-03-06,0.19555584415584415,0.9478444829403053,,,,0.9478444829403053
2019-03-07,0.129036,0.9743972339371154,,,,0.9743972339371154
2019-03-08,0.22059795918367348,0.8866057247298441,,,,0.8866057247298441
2019-03-09,0.21323333333333333,0.8301262285095856,,,,0.8301262285095856
2019-03-10,0.33491875,0.8238511292903524,,,,0.8238511292903524
2019-03-11,0.2865260869565217,0.8628033018102498,,,,0.8628033018102498
2019-03-12,0.18435128205128204,0.9326286902511309,,,,0.9326286902511309
2019-03-13,0.1979875,0.993968810834869,,,,0.993968810834869
2019-03-14,0.2018111111111111,0.987191295235346,3.589381424424131,,,0.987191295235346
2019-03-15,0.2781056603773585,0.9389361512519019,3.581929358983763,,,0.9389361512519019
2019-03-16,0.21696615384615384,0.9078963945002734,3.5826815723689807,,,0.9078963945002734
2019-03-17,0.3785096774193548,0.925798640436817,3.5811409201502205,,,0.925798640436817
2019-03-18,0.22536111111111112,0.9828652960955828,3.5835279416677737,,,0.9828652960955828
2019-03-19,0.18724375000000001,1.0193215808048,3.5789058633176025,,,1.0193215808048
2019-03-20,0.3955,1.0922576091037606,3.569035259173778,,,1.0922576091037606
2019-03-21,0.18182941176470588,1.0708930266342203,3.564724133212516,,,1.0708930266342203
2019-03-22,0.3890133333333333,1.0845539997202356,3.5717455392577677,,,1.0845539997202356
2019-03-23,0.1754111111111111,1.1179722906783682,3.5887599501459575,,,1.1179722906783682
2019-03-24,0.467869696969697,1.1248495443404636,3.612679500364816,,,1.1248495443404636
2019-03-25,0.20371,1.1863670114750446,3.6416701158794895,,,1.1863670114750446
2019-03-26,0.18202075471698112,1.155223278399982,3.661634267420961,,,1.155223278399982
2019-03-27,0.19008367346938776,1.1307058456367107,3.6784204389378226,,,1.1307058456367107
2019-03-28,0.07322678571428572,0.9894352608171629,3.6947124039270833,,,0.9894352608171629
2019-03-29,0.0889406779661017,0.8140021984303164,3.7115498128623874,,,0.8140021984303164
2019-03-30,0.377808,0.739264092018313,3.7284691621947648,,,0.739264092018313
2019-03-31,0.4058,0.7147869266493934,3.7512970208819376,,,0.7147869266493934
2019-04-01,0.10992087912087913,0.7981440124459748,3.770220567968997,,,0.7981440124459748
2019-04-02,0.22356133333333333,0.943848592592839,3.7736509871130246,,,0.943848592592839
2019-04-03,0.22449677419354838,1.0022785549673354,3.782269435767209,,,1.0022785549673354
2019-04-04,0.38984021739130437,1.002789490057005,3.7916787206488234,,,1.002789490057005
2019-04-05,0.12681142857142857,0.9983495391576632,3.7928242309246802,,,0.9983495391576632
2019-04-06,0.3022714285714286,0.9799319482260377,3.7810360482372913,,,0.9799319482260377
2019-04-07,0.2489,1.005942970197638,3.7616464155121103,,,1.005942970197638
2019-04-08,0.13335384615384616,0.9718223450120473,3.726574233537236,,,0.9718223450120473
2019-04-09,0.14117777777777776,0.9370706697654068,3.674152862006548,,,0.9370706697654068
2019-04-10,0.11171372549019608,0.8350020449389344,3.62516065150221,,,0.8350020449389344
2019-04-11,0.2318558823529412,0.7225715842490843,3.578509711680479,,,0.7225715842490843
2019-04-12,0.2905375,0.7135586298301371,3.5444624800599787,,,0.7135586298301371
2019-04-13,0.2957064516129032,0.7395862565683841,3.5324721696182517,,7.2724766098835785,0.7395862565683841
2019-04-14,0.09385294117647058,0.8087881129985078,3.5183478194547133,,7.278607751414002,0.8087881129985078
2019-04-15,0.2615078431372549,0.8896639890364748,3.480330689242416,,7.282803151687638,0.8896639890364748
2019-04-16,0.0924060975609756,0.8817111010031471,3.4395784928208513,,7.280580274454534,0.8817111010031471
2019-04-17,0.12112641509433962,0.7914810353813971,3.4038409256085314,,7.26733542075118,0.7914810353813971
2019-04-18,0.10464313725490196,0.7084137148576864,3.359511965009765,,7.251478349930894,0.7084137148576864
2019-04-19,0.07492916666666667,0.5712887350202502,3.2996377401027273,,7.226015220287077,0.5712887350202502
2019-04-20,0.4267739130434783,0.5672885596631959,3.2412878218473358,,7.195830208454606,0.5672885596631959
2019-04-21,0.30752857142857143,0.6535339325193402,3.1978372207680903,,7.165827428250219,0.6535339325193402
2019-04-22,0.19064705882352942,0.7585827367480337,3.1530618602739664,,7.132557320722073,0.7585827367480337
