,Daily average,weekly average,monthly average,long term average,short term average
2019-08-01,0.05861578947368421,0.6849032954235703,3.0158379799612165,8.198806259265343,0.6849032954235703
2019-08-02,0.035975609756097565,0.5336788074415644,2.9642150975674064,8.173017606820647,0.5336788074415644
2019-08-03,0.3249705882352941,0.45854587971989413,2.912906787331173,8.149791844085781,0.45854587971989413
2019-08-04,0.1471818181818182,0.45909176751659164,2.8758228219824646,8.126379102253045,0.45909176751659164
2019-08-05,0.17950714285714287,0.5206626687397122,2.8493394859645256,8.102325427286823,0.5206626687397122
2019-08-06,0.12277391304347826,0.6340162888001992,2.828344757349054,8.076169832273608,0.6340162888001992
2019-08-07,0.20780625,0.6715203877693549,2.808256616295238,8.047176631653384,0.6715203877693549
2019-08-08,0.2673675,0.7241981378327866,2.799254588653132,8.019588308942177,0.7241981378327866
2019-08-09,0.14055,0.7369137638360681,2.7923274590142912,7.99161837174208,0.7369137638360681
2019-08-10,0.4618090909090909,0.8126886084839073,2.805707283499959,7.967225359404337,0.8126886084839073
2019-08-11,0.13905,0.9005654751905703,2.848938877377742,7.946630910334085,0.9005654751905703
2019-08-12,0.0929060606060606,0.9147805615942031,2.898638436272091,7.927087890270487,0.9147805615942031
2019-08-13,0.10147916666666668,0.9289672253787877,2.9493482335265218,7.901140264191036,0.9289672253787877
2019-08-14,0.0644280701754386,0.7590498395135566,2.994171110676061,7.863656955511882,0.7590498395135566
2019-08-15,0.27547678571428574,0.6404282125768967,3.0378036829368114,7.821051185669372,0.6404282125768967
2019-08-16,0.180596,0.5873444303372066,3.0755930662663857,7.778517520792269,0.5873444303372066
2019-08-17,0.35417,0.6072010647641832,3.10958188893852,7.7385012595698575,0.6072010647641832
2019-08-18,0.012581818181818178,0.7134413913761677,3.1429921175646403,7.701149900617003,0.7134413913761677
2019-08-19,0.22390000000000002,0.7726808251310094,3.1752474240657467,7.667175798452876,0.7726808251310094
