,Daily average,weekly average,monthly average,long term average,mid term average,short term average
2019-02-13,0.1927972972972973,,,,,
2019-02-14,0.32012456140350876,,,,,
2019-02-15,0.1261,,,,,
2019-02-16,0.18880869565217392,,,,,
2019-02-17,0.22648,,,,,
2019-02-18,0.16536666666666666,,,,,
2019-02-19,0.1960078125,0.793190587136586,,,,0.793190587136586
2019-02-20,0.2173688888888889,0.7875387905622299,,,,0.7875387905622299
2019-02-21,0.2123245283018868,0.7699274503876697,,,,0.7699274503876697
2019-02-22,0.21921142857142858,0.8044667743735107,,,,0.8044667743735107
2019-02-23,0.357645,0.8619384421093514,,,,0.8619384421093514
2019-02-24,0.22872,0.9151078393137916,,,,0.9151078393137916
2019-02-25,0.24559090909090908,0.9801326996400155,,,,0.9801326996400155
2019-02-26,0.24095,1.0371310123471915,,,,1.0371310123471915
2019-02-27,0.4128430769230769,1.067519547410137,,,,1.067519547410137
2019-02-28,0.08003225806451612,1.0578983692114339,,,,1.0578983692114339
2019-03-01,0.276,1.0475628685427476,,,,1.0475628685427476
2019-03-02,0.23253333333333334,1.029688558350252,,,,1.029688558350252
2019-03-03,0.13859545454545455,0.9294528233325814,,,,0.9294528233325814
2019-03-04,0.3688121212121212,0.9385839895856832,,,,0.9385839895856832
2019-03-05,0.1900139534883721,0.9186163714836052,,,,0.9186163714836052
2019-03-06,0.19555584415584415,0.8915085477538215,,,,0.8915085477538215
2019-03-07,0.129036,0.9305727659820799,,,,0.9305727659820799
2019-03-08,0.216186,0.8592854881204067,,,,0.8592854881204067
2019-03-09,0.20561785714285713,0.8133956978002618,,,,0.8133956978002618
2019-03-10,0.33491875,0.811591006235528,,,,0.811591006235528
2019-03-11,0.2865260869565217,0.8515487000462884,,,,0.8515487000462884
2019-03-12,0.18435128205128204,0.9217042446728996,,,,0.9217042446728996
2019-03-13,0.19006800000000001,0.9840713491001752,,,,0.9840713491001752
2019-03-14,0.21256521739130435,0.9810093439142379,3.5040265287106136,,,0.9810093439142379
2019-03-15,0.2781056603773585,0.9364697103443794,3.4937526962985186,,,0.9364697103443794
2019-03-16,0.21696615384615384,0.9080424742104183,3.4933431691129346,,,0.9080424742104183
2019-03-17,0.3725015873015873,0.9291110991875683,3.493554496456834,,,0.9291110991875683
2019-03-18,0.21927027027027027,0.9824443705366339,3.499246589716284,,,0.9824443705366339
2019-03-19,0.18724375000000001,1.0151672709361506,3.498504935122645,,,1.0151672709361506
2019-03-20,0.3735277777777778,1.078876859369855,3.492262148697119,,,1.078876859369855
2019-03-21,0.18182941176470588,1.0493100070939425,3.4908724313856165,,,1.0493100070939425
2019-03-22,0.37646451612903226,1.057365453062979,3.500232278773146,,,1.057365453062979
2019-03-23,0.1754111111111111,1.085178216904133,3.5192962943083748,,,1.085178216904133
2019-03-24,0.47260588235294115,1.0986201009061718,3.546225151045323,,,1.0986201009061718
2019-03-25,0.20371,1.1652001758512545,3.5788906443368944,,,1.1652001758512545
2019-03-26,0.18202075471698112,1.1438707489786337,3.6025296736552628,,,1.1438707489786337
2019-03-27,0.19008367346938776,1.1291676224178044,3.6229907229490204,,,1.1291676224178044
2019-03-28,0.07322678571428572,0.9898501955535207,3.643485532381845,,,0.9898501955535207
2019-03-29,0.09659833333333334,0.8182847049637465,3.664592067187607,,,0.8182847049637465
2019-03-30,0.3498222222222222,0.7372805216032954,3.6842970731602285,,,0.7372805216032954
2019-03-31,0.4058,0.7065372792859282,3.7080524408608406,,,0.7065372792859282
2019-04-01,0.1131031914893617,0.7856079125719938,3.7267578433123596,,,0.7856079125719938
2019-04-02,0.22356133333333333,0.9231972125247262,3.729604899015805,,,0.9231972125247262
2019-04-03,0.20774328358208954,0.9833164109411151,3.736641426456999,,,0.9833164109411151
2019-04-04,0.38154574468085106,0.9834429638950637,3.744563688811789,,,0.9834429638950637
2019-04-05,0.12681142857142857,0.9770274746757599,3.7452597042269624,,,0.9770274746757599
2019-04-06,0.29184827586206896,0.9559429710886403,3.733511176068866,,,0.9559429710886403
2019-04-07,0.2262727272727273,0.975010563084213,3.7137490395325865,,,0.975010563084213
2019-04-08,0.13002,0.9372602827393604,3.6767223229125556,,,0.9372602827393604
2019-04-09,0.14117777777777776,0.8996745304255782,3.6216656936330156,,,0.8996745304255782
2019-04-10,0.11171372549019608,0.799983404886644,3.5700382253798266,,,0.799983404886644
2019-04-11,0.22523142857142858,0.6953995937497256,3.520531212683196,,,0.6953995937497256
2019-04-12,0.28345121951219515,0.6920550236610686,3.482906900378816,,,0.6920550236610686
2019-04-13,0.2957064516129032,0.7237510347296061,3.4666872764218093,,7.149948969753819,0.7237510347296061
2019-04-14,0.079775,0.7924960020185624,3.44957802640715,,7.1559624345130635,0.7924960020185624
2019-04-15,0.2611346153846154,0.8704770906861404,3.4099600092312796,,7.159704030032949,0.8704770906861404
2019-04-16,0.0924060975609756,0.8623390939878646,3.367182061092564,,7.157126122087059,0.8623390939878646
2019-04-17,0.120369375,0.7717346596775815,3.328778055636763,,7.143617221692331,0.7717346596775815
2019-04-18,0.10464313725490196,0.695331941053573,3.2826712934707727,,7.127229540753708,0.695331941053573
2019-04-19,0.07492916666666667,0.5634020635467806,3.2219567238105653,,7.101673125065631,0.5634020635467806
2019-04-20,0.4267739130434783,0.5628254203984189,3.1625870182419593,,7.071989429040753,0.5628254203984189
2019-04-21,0.30752857142857143,0.6528728455104257,3.1183932127899787,,7.042823921850427,0.6528728455104257
2019-04-22,0.19064705882352942,0.7582042167008638,3.0746597157120883,,7.010727044542817,0.7582042167008638
