,Daily average,weekly average,monthly average,long term average,short term average
2020-03-13,0.0687598615916955,0.2576673212242112,,,0.2576673212242112
2020-03-14,0.043243555555555556,0.2413428813726778,,,0.2413428813726778
2020-03-15,0.06144114832535885,0.22816355001136956,,,0.22816355001136956
2020-03-16,0.07668095238095238,0.22907705267586953,,,0.22907705267586953
2020-03-17,0.0771,0.23502442454452172,,,0.23502442454452172
2020-03-18,0.08124530386740332,0.25530188031653267,,,0.25530188031653267
2020-03-19,0.04198443396226415,0.2705173172249409,,,0.2705173172249409
2020-03-20,0.1246775,0.28923774721896717,,,0.28923774721896717
2020-03-21,0.09866709401709402,0.3112649161151908,,,0.3112649161151908
2020-03-22,0.05087546468401487,0.31619918813760545,,,0.31619918813760545
2020-03-23,0.061975091575091575,0.3309953031540006,,,0.3309953031540006
2020-03-24,0.05192619718309859,0.3156044555614086,,,0.3156044555614086
2020-03-25,0.07391944444444444,0.28863492207138053,,,0.28863492207138053
2020-03-26,0.060190123456790125,0.2715865130703934,,,0.2715865130703934
2020-03-27,0.09563988095238095,0.25795663701052185,,,0.25795663701052185
2020-03-28,0.014931739130434784,0.25326597214170965,,,0.25326597214170965
2020-03-29,0.023834065934065934,0.2422408750384652,,,0.2422408750384652
2020-03-30,0.0898013698630137,0.23628992484358288,,,0.23628992484358288
2020-03-31,0.104214375,0.22406640081628293,,,0.22406640081628293
2020-04-01,0.06749911894273128,0.2342333362552231,,,0.2342333362552231
2020-04-02,0.05664922480620155,0.2651254060397918,,,0.2651254060397918
2020-04-03,0.03167008196721312,0.27408184224885446,,,0.27408184224885446
2020-04-04,0.03023125,0.26239887369601234,,,0.26239887369601234
2020-04-05,0.03553148148148148,0.22958215082478362,,,0.22958215082478362
2020-04-06,0.13649009009009008,0.20852185455649316,1.426134074462444,,0.20852185455649316
2020-04-07,0.13388423236514524,0.22754791786163592,1.403100498962857,,0.22754791786163592
2020-04-08,0.12467058823529412,0.28867959697560214,1.3888180069869556,,0.28867959697560214
2020-04-09,0.060960869565217395,0.36416053247581476,1.380975278013373,,0.36416053247581476
2020-04-10,0.09079077306733167,0.4082564223993657,1.3734815979389021,,0.4082564223993657
2020-04-11,0.0706806779661017,0.4109978861236728,1.3686322520015606,,0.4109978861236728
2020-04-12,0.14165225225225225,0.39437493129339574,1.368390831213092,,0.39437493129339574
2020-04-13,0.07512247838616715,0.37493503164742226,1.371543787182698,,0.37493503164742226
2020-04-14,0.10311245059288537,0.37000038063852675,1.3768832758330956,,0.37000038063852675
2020-04-15,0.12020396600566573,0.39324744023928315,1.3862389613387582,,0.39324744023928315
2020-04-16,0.08632534562211981,0.398417357178267,1.3979698369507672,,0.398417357178267
2020-04-17,0.07749618138424821,0.40064029766153353,1.411706119684661,,0.40064029766153353
2020-04-18,0.0731515748031496,0.39229259981597775,1.4309116645182907,,0.39229259981597775
2020-04-19,0.06548937198067632,0.35788543145428364,1.4514793948030906,,0.35788543145428364
2020-04-20,0.08156237623762376,0.33611924740399857,1.4691029298024771,,0.33611924740399857
2020-04-21,0.07917639344262295,0.3141796906187869,1.4847431134551936,,0.3141796906187869
2020-04-22,0.08543951367781155,0.3028023374996748,1.501077883565876,,0.3028023374996748
2020-04-23,0.048767510548523206,0.3009231675287717,1.519151949372227,,0.3009231675287717
2020-04-24,0.08971625615763547,0.3022732098839955,1.540210160344895,,0.3022732098839955
2020-04-25,0.07676310160427807,0.30259987626503937,1.565595271205194,,0.30259987626503937
2020-04-26,0.03646067415730337,0.2876098480472908,1.5890544216904778,,0.2876098480472908
2020-04-27,0.08982744360902256,0.28706526845270525,1.6061106915938432,,0.28706526845270525
2020-04-28,0.05550693430656934,0.27592988841535027,1.6169533233608178,,0.27592988841535027
2020-04-29,0.09344520547945205,0.2695683573063751,1.6264047340814745,,0.2695683573063751
2020-04-30,0.11922,0.29614136753820103,1.6391688076579165,,0.29614136753820103
2020-05-01,0.15269876543209876,0.3281672249606712,1.654395841786018,,0.3281672249606712
2020-05-02,0.0821415458937198,0.3754040657426955,1.6676985010928245,,0.3754040657426955
2020-05-03,0.07681970443349753,0.4143140052944377,1.676983987344845,,0.4143140052944377
2020-05-04,0.08642983870967742,0.42433657306292505,1.6845851067671818,,0.42433657306292505
2020-05-05,0.09638038277511962,0.4045617147113987,1.6889434000942405,,0.4045617147113987
2020-05-06,0.06866926406926407,0.3747601330069707,1.6909972191212495,,0.3747601330069707
2020-05-07,0.0786375,0.34956937545565686,1.6913069214017422,,0.34956937545565686
2020-05-08,0.13963521739130436,0.34587750289733055,1.6905101989342604,,0.34587750289733055
2020-05-09,0.04241502145922747,0.3427738856742759,1.6901735709937764,,0.3427738856742759
2020-05-10,0.04806084905660377,0.33788623515417016,1.6895966460268494,,0.33788623515417016
2020-05-11,0.09266329588014982,0.33605058471247623,1.6887937235478976,,0.33605058471247623
2020-05-12,0.08423071672354948,0.3070624644334368,1.6872860646217391,,0.3070624644334368
2020-05-13,0.09181551020408163,0.30391580666958407,1.6856771928267906,,0.30391580666958407
2020-05-14,0.05691140939597315,0.30813389274373865,1.6824098389857152,,0.30813389274373865
2020-05-15,0.08928722627737226,0.30800151244716145,1.6761175514354154,,0.30800151244716145
2020-05-16,0.058192207792207795,0.3152106300846875,1.6721516002380643,,0.3152106300846875
2020-05-17,0.027887214611872144,0.2940875516379477,1.6707825867738813,,0.2940875516379477
2020-05-18,0.057132258064516134,0.27080704527350125,1.6707362117458386,,0.27080704527350125
2020-05-19,0.046848167539267016,0.23776079162522293,1.6704825268136014,,0.23776079162522293
2020-05-20,0.10938134715025907,0.22402145004929278,1.6672951105404445,,0.22402145004929278
2020-05-21,0.10470046728971963,0.24546749554087693,1.6599005876325177,,0.24546749554087693
2020-05-22,0.077526,0.27195676434919624,1.6506280340960024,,0.27195676434919624
2020-05-23,0.054722040816326534,0.3110242661613068,1.6421329873294939,,0.3110242661613068
2020-05-24,0.03437888198757764,0.31854386684323416,1.6321588597004015,,0.31854386684323416
2020-05-25,0.053901785714285715,0.29416048396184113,1.6208341481045785,,0.29416048396184113
2020-05-26,0.05860330882352941,0.25994799280245956,1.6092328143206773,3.559372623853251,0.25994799280245956
2020-05-27,0.049155844155844154,0.2223754841586925,1.5970556593329557,3.556265346105323,0.2223754841586925
2020-05-28,0.05079170506912443,0.20765679757598246,1.580229751110979,3.5532063581791107,0.20765679757598246
2020-05-29,0.07097796610169492,0.20990682648398323,1.560811596395341,3.5520427340687832,0.20990682648398323
2020-05-30,0.02659084745762712,0.20888441284462606,1.5429851621983521,3.550432837533211,0.20888441284462606
2020-05-31,0.04304324324324325,0.20772539814223925,1.5238818422640537,3.5477114132120806,0.20772539814223925
2020-06-01,0.08867161572052402,0.21193315533231566,1.5033420908516753,3.5450095110376787,0.21193315533231566
2020-06-02,0.06782412698412699,0.21108340764614775,1.4812675972661897,3.5423298660580613,0.21108340764614775
2020-06-03,0.0773342741935484,0.23092263198543578,1.4588478118977974,3.539970156290867,0.23092263198543578
2020-06-04,0.05908310810810811,0.25629997276909017,1.4366905132473269,3.538142274071221,0.25629997276909017
2020-06-05,0.07223268156424581,0.2680976023508252,1.4132727320292264,3.536425242426646,0.2680976023508252
2020-06-06,0.02977962382445141,0.27117256592203326,1.3912584902697975,3.533711749550765,0.27117256592203326
2020-06-07,0.02678173076923077,0.24892353695318167,1.3700406681892807,3.530262719386796,0.24892353695318167
2020-06-08,0.08946597633136094,0.23026025882392703,1.3502538210007395,3.526618106073329,0.23026025882392703
2020-06-09,0.0502825,0.21021916884268046,1.3314658401229933,3.5221957337698493,0.21021916884268046
2020-06-10,0.10636174863387979,0.2188347358537099,1.3126878438748966,3.518146148815806,0.2188347358537099
2020-06-11,0.07247857142857143,0.25151264888565394,1.295140540047022,3.5145157674531586,0.25151264888565394
2020-06-12,0.08935533769063181,0.27656718520160245,1.2790007131644905,3.510698370206462,0.27656718520160245
2020-06-13,0.047693175074183976,0.30646193567715846,1.265913291539464,3.5062568500383584,0.30646193567715846
2020-06-14,0.0776639175257732,0.3100366971733307,1.2561160193814633,3.5000169830074506,0.3100366971733307
2020-06-15,0.054214163090128754,0.29762114642005705,1.2481166856830788,3.490908466000238,0.29762114642005705
2020-06-16,0.1070467492260062,0.2896561082108093,1.2424435862453604,3.480132455587824,0.2896561082108093
2020-06-17,0.052200666666666666,0.28346527413113626,1.2412111126784928,3.4689626079872746,0.28346527413113626
2020-06-18,0.09289131832797427,0.28825574802904014,1.2420687111492144,3.4576289251941783,0.28825574802904014
2020-06-19,0.08305423728813559,0.3048223425610564,1.2447084045952672,3.446669350252899,0.3048223425610564
2020-06-20,0.045194466403162055,0.301503013503518,1.2505907147219788,3.435128574963881,0.301503013503518
2020-06-21,0.07978650793650793,0.3039532718653193,1.2574341565740865,3.422956888591089,0.3039532718653193
2020-06-22,0.08468047337278106,0.3005439687877719,1.2649656414968835,3.4090276781659075,0.3005439687877719
2020-06-23,0.10488115384615385,0.2953813763002275,1.2736964200312724,3.394557432086784,0.2953813763002275
2020-06-24,0.07142733564013841,0.3122400718276382,1.2836690075795687,3.3815257006338375,0.3122400718276382
2020-06-25,0.048841961852861035,0.3144661705166768,1.2937695239333122,3.368434535981212,0.3144661705166768
2020-06-26,0.03854098837209302,0.3072101091943417,1.3031059843333468,3.3536118884963653,0.3072101091943417
2020-06-27,0.03332956204379562,0.27660942078191253,1.3135366275810039,3.336106395474022,0.27660942078191253
2020-06-28,0.04162313432835821,0.23199946473229413,1.3226282135230305,3.3173912834846666,0.23199946473229413
2020-06-29,0.10709497716894978,0.20968889903260973,1.3323560663031593,3.299235466884353,0.20968889903260973
2020-06-30,0.07460465838509317,0.20792912208634734,1.3441462429014444,3.2817291420769026,0.20792912208634734
2020-07-01,0.09857127071823205,0.24036767025928363,1.355879463406434,3.2656135442477194,0.24036767025928363
2020-07-02,0.11808848920863309,0.29937360748023367,1.3682436834740426,3.2509972811001733,0.29937360748023367
2020-07-03,0.10089255813953488,0.34226568611480784,1.3814575271572118,3.237191257153827,0.34226568611480784
2020-07-04,0.09814734513274337,0.38202751893304454,1.395586530484738,3.222855717711645,0.38202751893304454
2020-07-05,0.03436091370558376,0.38942633532950993,1.409246963615871,3.2071464693975704,0.38942633532950993
2020-07-06,0.134403187250996,0.38178748751649744,1.4217574324795972,3.1922670598483016,0.38178748751649744
2020-07-07,0.05437943548387097,0.3640709637969226,1.433523784847685,3.179419220984619,0.3640709637969226
2020-07-08,0.066788,0.3326289321072495,1.444108965632409,3.16800023820623,0.3326289321072495
2020-07-09,0.09998933333333333,0.33364659457767576,1.4525055223086432,3.1581586736563123,0.33364659457767576
2020-07-10,0.08000376175548589,0.31698572616363385,1.460730323445055,3.149611046406911,0.31698572616363385
2020-07-11,0.06859054545454546,0.31550591590617644,1.469713805018828,3.1426790739516144,0.31550591590617644
2020-07-12,0.08046228070175439,0.3252845121073435,1.4781126517486605,3.137590795477929,0.3252845121073435
