date,content
2021-01-29 22:00:53+00:00,"P/FFO among largest #reits #realestate $VNQ
1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: 27.1
2. 🇺🇸 PROLOGIS, INC. $PLD: 25.9
3. 🇺🇸 CROWN CASTLE INTERNA. $CCI: 22.3
4. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: 30.5
5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: 25.6"
2021-01-29 21:29:42+00:00,"Why does nobody talk about the competency of the new $LMT CEO appointed ~7 months ago? Investors should be excited about that hire. 

Served as chairman, president and CEO of American Tower Corporation since 2004 and CEO since 2003."
2021-01-29 21:20:13+00:00,"Nextlink American Tower Deal Will Leverage 1K Towers for Fixed Wireless Expansion 

https://t.co/4kMwk4gUkl

#fixedwireless #broadband #ruralbroadband https://t.co/LqQXhOJLBc"
2021-01-29 18:30:14+00:00,"Hace un par de meses tuve la oportunidad de platicar con Claudina García, de American Tower, y quedé sorprendido de lo bien que tienen manejada la operación del equipo legal de la empresa.

Escucha la entrevista completa aquí:
https://t.co/kueTEWgJ3b https://t.co/SQOoWarEvl"
2021-01-29 18:17:44+00:00,"@AndromedaValue reduce la liquidez al 34% y entra en Snowflake, Match Group, Cloudflare, Qualcomm y American Tower https://t.co/aJYXzZYXbn"
2021-01-29 17:51:43+00:00,"An exclusive interview with Eric Watko VP Innovation Product Line Management of American Tower, highlights the latest developments at ATC including the new Edge Data Center strategy and product roadmap for new services and business models.

Published in t…https://t.co/q9qWFb7kML"
2021-01-29 15:55:06+00:00,"American Tower, Nextlink Internet, and Fixed Wireless Access
https://t.co/Sf0rlRqp52

Bringing Fixed Wireless Access (FWA) to users in rural America, across 11 states.

#dgtlinfra #digitalinfrastructure #towers #5gtowers #celltower #celltowers #5gcelltowers #5gcelltower #5G $AMT"
2021-01-29 15:25:05+00:00,Challenges and prayer all building owners in the world and in India not to let the American Tower Company (ATC) rent a building for a tower. ATC froud and cheater company. Aditya Birla owner of Idea Company is involved in this.
2021-01-29 12:44:58+00:00,"Nextlink to use up to 1,000 sites from American Tower | Light Reading https://t.co/OkvU1HJoIB"
2021-01-29 11:34:56+00:00,"$AMT New Form SC 13G/A for American Tower Corp
From our Stock News Alerts App"
2021-01-29 11:02:02+00:00,"American Tower buys Europe, LatAm sites from Telefonica https://t.co/yD8lafy9Db #Edge #MA via @StructureRes"
2021-01-29 10:58:16+00:00,"American Tower buys Europe, LatAm sites from Telefonica https://t.co/H2q0oGsfgQ #datacenter"
2021-01-29 05:10:55+00:00,"Featured Art of the Day: ""American Tower"". Buy it at: https://t.co/s9SEWNb7tA https://t.co/DVPE5ThNxc"
