,Daily average,weekly average,monthly average,long term average,short term average
2019-07-08,0.13423076923076924,0.5366184615384615,2.4971690360734953,4.7585985431377615,0.5366184615384615
2019-07-09,0.2629057142857143,0.5214557394688644,2.5523572722821237,4.7647491083723486,0.5214557394688644
2019-07-10,0.052006250000000004,0.582566246565934,2.591305220366933,4.77383392595969,0.582566246565934
2019-07-11,0.18158620689655172,0.6236678566691928,2.5985236573798858,4.7822998651185475,0.6236678566691928
2019-07-12,0.2394851851851852,0.6529212117866967,2.589508306306723,4.792228387422348,0.6529212117866967
2019-07-13,0.0,0.6238123347613433,2.583756747424766,4.803673867536008,0.6238123347613433
2019-07-14,0.09644285714285714,0.5893260470217044,2.5760248048630223,4.816369148147765,0.5893260470217044
2019-07-15,0.20345333333333335,0.5664891558337894,2.570178311954824,4.832310323630842,0.5664891558337894
2019-07-16,0.13483636363636364,0.4911764552700652,2.5675740475819775,4.853139668436054,0.4911764552700652
2019-07-17,0.04903846153846153,0.4938497986623849,2.55834175800517,4.876379085458443,0.4938497986623849
2019-07-18,0.26660416666666664,0.5279543176499427,2.548673600906995,4.9030740763160345,0.5279543176499427
2019-07-19,0.23515,0.5645162216949717,2.552228371693434,4.935626660984543,0.5645162216949717
2019-07-20,0.22937142857142856,0.6508740973609723,2.5719970973118076,4.971969921695003,0.6508740973609723
2019-07-21,-0.006357142857142855,0.7111234565434565,2.597103640857351,5.008259136660319,0.7111234565434565
2019-07-22,0.12530416666666666,0.6935074883449882,2.616950325684407,5.042201756056852,0.6935074883449882
2019-07-23,0.2792,0.6789798534798536,2.633103232607993,5.075364241855498,0.6789798534798536
2019-07-24,0.17316499999999999,0.6267668452380952,2.657067738203742,5.10764218283622,0.6267668452380952
2019-07-25,0.15602962962962963,0.6289994312169312,2.673505889302136,5.139941439209005,0.6289994312169312
2019-07-26,0.22368,0.6911509755291005,2.6886777394746035,5.175356709230932,0.6911509755291005
