,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-06-01,83.41999816894531,80.12000274658203,81.0,82.72000122070312,8709700.0,82.72000122070312,-0.15,4.5988000000000016,0.7664666666666667,1.0620884282470937,4.269191500391402,1.0620884282470937,8.341394371440094,51.01144507543126,91.42890908391068
2020-06-02,88.2699966430664,82.37999725341797,82.95999908447266,88.0,18364200.0,88.0,-0.15,7.0310000000000015,0.8788750000000001,1.0620884282470937,4.269191500391402,1.0620884282470937,1.7386349764737217,38.39015382708926,81.31817904385653
2020-06-03,92.55000305175781,87.08999633789062,88.0,91.97000122070312,17089200.0,91.97000122070312,-0.15,1.7819999999999998,0.8909999999999999,1.0620884282470937,4.269191500391402,1.0620884282470937,-0.06523600934806131,29.009459553176477,81.21126611944959
2020-06-04,92.95999908447266,86.19000244140625,90.95999908447266,87.72000122070312,13368100.0,87.72000122070312,-0.15,0.0,0.0,1.0620884282470937,4.269191500391402,1.0620884282470937,-1.8581906750222394,38.21248994141057,85.68171752871633
2020-06-05,91.44999694824219,88.06700134277344,90.0,89.93000030517578,11127700.0,89.93000030517578,-0.15,2.2508,0.5627,1.0620884282470937,4.269191500391402,1.0620884282470937,-3.5694418698761083,35.8834610625584,69.97664860627599
2020-06-06,91.37666575113933,88.05466715494792,90.16666666666667,89.82666778564453,10335500.0,89.82666778564453,-0.15,2.2508,0.5627,1.0620884282470937,4.269191500391402,1.0620884282470937,-1.8702689820185752,33.53495115112325,62.96941988205808
2020-06-07,91.30333455403645,88.04233296712239,90.33333333333333,89.72333526611328,9543300.0,89.72333526611328,-0.15,2.2508,0.5627,2.1433541666666667,4.269191500391402,1.0620884282470937,-0.16718228923837036,34.5580868108131,61.12865094241033
2020-06-08,91.2300033569336,88.02999877929688,90.5,89.62000274658203,8751100.0,89.62000274658203,-0.15,2.2508,0.5627,2.07196875,4.269191500391402,1.0620884282470937,1.539831746401726,37.56229813610487,59.28363716262468
2020-06-09,91.65399932861328,87.87000274658203,89.0199966430664,89.52999877929688,7749000.0,89.52999877929688,-0.15,2.2508,0.5627,2.0515250000000003,4.269191500391402,1.0620884282470937,5.819277510899988,40.5525176973891,57.41092619981668
2020-06-10,92.97000122070312,89.5,90.26000213623047,91.91000366210938,9486700.0,91.91000366210938,-0.15,0.0,0.0,1.96945,4.269191500391402,1.0620884282470937,5.5706614222432655,39.69099583724446,51.354580641476744
2020-06-11,90.0,85.7699966430664,87.75,86.08999633789062,14754700.0,86.08999633789062,-0.15,0.3818,0.3818,1.9242249999999999,4.269191500391402,1.0620884282470937,14.147985623522462,47.50842521278825,67.51075949389525
2020-06-12,89.18000030517578,84.25,89.0199966430664,86.72000122070312,9937300.0,86.72000122070312,-0.15,1.1811,0.3937,1.696075,4.269191500391402,1.0620884282470937,12.984319623766691,48.96216657909989,62.6729766356834
2020-06-13,89.8866678873698,84.18666585286458,87.60999806722005,88.14666748046875,9895866.666666666,88.14666748046875,-0.15,1.1513,0.4444166666666666,1.4383541666666664,4.269191500391402,1.0620884282470937,13.51535515171658,39.46074629811071,55.933288094751745
2020-06-14,90.5933354695638,84.12333170572917,86.1999994913737,89.57333374023438,9854433.333333334,89.57333374023438,-0.15,1.1215,0.4951333333333333,1.4450916666666667,4.269191500391402,1.0620884282470937,14.029474697223318,35.54257566677421,56.03601737430493
2020-06-15,91.30000305175781,84.05999755859375,84.79000091552734,91.0,9813000.0,91.0,-0.15,1.0917,0.54585,1.5380666666666665,4.269191500391402,1.0620884282470937,14.527473868904533,35.00732869019003,56.135525546231115
2020-06-16,95.86799621582031,92.55999755859375,93.06999969482422,94.73999786376953,13026400.0,94.73999786376953,-0.15,1.7584,0.5861333333333333,1.7213999999999998,4.269191500391402,1.0620884282470937,10.56576141222238,31.204704830980933,52.41713864520343
2020-06-17,100.0,94.69999694824219,94.77999877929688,97.02999877929688,17113700.0,97.02999877929688,-0.15,1.1216,0.3738666666666666,1.9166666666666665,4.269191500391402,1.0620884282470937,3.967843473726356,29.59909469444522,59.229106403910826
2020-06-18,98.6500015258789,95.81999969482422,97.0,98.2699966430664,8766900.0,98.2699966430664,-0.15,0.0,0.0,1.8643666666666665,4.269191500391402,1.0620884282470937,6.624608078369963,25.684345533092994,53.70917697331109
2020-06-19,102.26000213623047,97.91999816894531,100.0999984741211,97.9800033569336,13879800.0,97.9800033569336,-0.15,0.0,0.0,1.6345916666666664,4.269191500391402,1.0620884282470937,6.4502954463074955,31.200243567516594,48.64257440275151
2020-06-20,103.32666778564453,98.3633321126302,99.97999827067058,100.06000264485677,14958866.666666666,100.06000264485677,-0.15,0.0,0.0,1.210175,4.269191500391402,1.0620884282470937,4.03091416959337,29.052569927600313,44.92303685171816
