,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-07-11,1553.0133056640625,1502.6666666666667,1525.47998046875,1530.0833333333333,1913166.6666666667,1530.0833333333333,-0.53,0.8939999999999999,0.44699999999999995,0.0,0.0,0.0,0.17768731014509354,1.1912323314607651,-1.9897208431410842
2020-07-12,1564.6866455078125,1504.6133626302083,1537.7099609375,1521.1566569010417,2030433.3333333333,1521.1566569010417,-0.53,0.44699999999999995,0.22349999999999998,0.0,0.0,0.0,1.7952635124399035,2.0185959713338573,-0.3680320331927942
2020-07-13,1576.3599853515625,1506.56005859375,1549.93994140625,1512.22998046875,2147700.0,1512.22998046875,-0.53,0.0,0.0,0.0,0.0,0.0,3.412839714734713,2.845959611206949,1.2536567767554954
2020-07-14,1522.800048828125,1485.9300537109375,1492.7900390625,1520.8599853515625,1905400.0,1520.8599853515625,-0.53,-0.0516,-0.0516,0.0,0.0,0.0,2.3052785221149406,3.673323251080041,2.8753455867037863
2020-07-15,1536.3299560546875,1497.8299560546875,1523.22998046875,1516.8800048828125,1551300.0,1516.8800048828125,-0.53,0.0,0.0,0.0,0.0,0.0,3.1624103784551467,4.5006868909531335,3.308761487045078
2020-07-16,1515.9100341796875,1488.27001953125,1501.5,1514.9200439453125,1324200.0,1514.9200439453125,-0.53,-0.3558,-0.1779,0.0,0.0,0.0,0.12079555366643231,6.002292464479895,3.2028025277543315
2020-07-17,1523.4300537109375,1498.0999755859375,1516.9100341796875,1516.8499755859375,1713200.0,1516.8499755859375,-0.53,-1.1148,-0.2787,0.0,0.0,0.0,-0.5696024516267659,8.39107567297211,2.5460655792455116
2020-07-18,1538.6233723958333,1499.63330078125,1516.2733561197917,1532.5133056640625,1644900.0,1532.5133056640625,-0.53,-1.1148,-0.2787,0.0,0.0,0.0,-1.1131841028171445,7.539521940046163,1.4922704676630312
2020-07-19,1553.8166910807292,1501.1666259765625,1515.6366780598958,1548.1766357421875,1576600.0,1548.1766357421875,-0.53,-1.1148,-0.2787,0.0,0.0,0.0,-1.6567657540075231,6.687968207120217,0.43847535608055077
2020-07-20,1569.010009765625,1502.699951171875,1515.0,1563.8399658203125,1508300.0,1563.8399658203125,-0.53,-1.1148,-0.2787,0.0,0.0,0.0,-2.2003474051979017,5.836414474194269,-0.6153197555019299
2020-07-21,1587.050048828125,1552.6199951171875,1585.030029296875,1555.9200439453125,1377700.0,1555.9200439453125,-0.53,0.7636,0.3818,0.0,0.0,0.0,-3.3594283803112432,4.984860741268323,-1.6691148670844103
2020-07-22,1566.97998046875,1543.22998046875,1555.7099609375,1564.8499755859375,1224100.0,1564.8499755859375,-0.53,0.0,0.0,0.0,0.0,0.0,-2.641784609724858,4.133307008342375,-0.879957807207301
2020-07-23,1570.3499755859375,1508.5899658203125,1565.9300537109375,1516.75,1695500.0,1516.75,-0.53,0.0,0.0,0.0,0.0,0.0,1.4254158639978574,9.120155335730178,4.56502325593374
2020-07-24,1515.4300537109375,1487.5899658203125,1499.18994140625,1508.2099609375,1495100.0,1508.2099609375,-0.53,2.4674,0.24674,0.0,0.0,0.0,-1.3433149422399666,13.869425287505171,6.527610597465565
2020-07-25,1522.8067220052083,1495.8366292317708,1503.8799641927083,1515.2833251953125,1448800.0,1515.2833251953125,-0.53,2.0174333333333334,0.21105583333333333,0.0,0.0,0.0,-1.9126987559317903,11.397836339749608,6.23644570853417
2020-07-26,1530.1833902994792,1504.0832926432292,1508.5699869791667,1522.356689453125,1402500.0,1522.356689453125,-0.53,1.5674666666666668,0.17537166666666665,0.0,0.0,0.0,-2.482082569623614,8.926247391994043,5.945280819602775
