Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-06-30,174.22999572753906,6831900,-0.09,0.9741,0.9741,3.5721,6.7200340285315034,1.765911177502642,2.393387058027802,16.788154001760486,17.40802535430508
2020-07-01,177.42999267578125,6869600,-0.09,0.9741,0.9741,3.73425,6.7200340285315034,1.765911177502642,-3.3365261868453975,15.166547242822787,14.259146759921595
2020-07-02,177.2100067138672,5943600,-0.09,0.9741,0.9741,3.8423499999999997,6.7200340285315034,1.765911177502642,-2.770725961337686,15.388515309806087,4.237906564137757
2020-07-06,176.17999267578125,8348300,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,-2.338514751087204,15.870137289267088,4.0753821279715305
2020-07-07,177.27999877929688,5529400,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,-4.213674002786313,17.853110398475774,8.495034782430565
2020-07-08,181.57000732421875,7233500,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,-4.21325596006243,16.10948880327466,4.147160035000151
2020-07-09,183.22999572753903,6340000,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,-2.4068048388091916,11.87579013972251,2.9416577609177783
2020-07-10,178.39999389648438,7583200,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,-1.5807130952403354,7.533633913241465,7.58969114807167
2020-07-13,171.50999450683594,10234800,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,4.028921860780517,8.4193358427463,12.12174754287759
2020-07-14,172.3000030517578,10624500,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,0.9053961294040933,12.942543619722983,10.34242121288685
2020-07-15,172.05999755859375,6659700,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,0.29059630773836825,10.478902147581918,10.949666747190806
2020-07-16,169.80999755859375,6630600,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,4.811258634007232,8.356399885413062,13.462105258239351
2020-07-17,173.9199981689453,7354000,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,1.3511994757686445,7.497705084066787,15.466886751656276
2020-07-20,178.82000732421875,6025000,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,3.232299822478547,4.026393386276871,15.199637379782216
2020-07-21,175.5800018310547,5698400,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,9.642324011405087,3.0356542746726265,22.143754685811736
2020-07-22,178.4199981689453,4669000,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,9.892393978482557,-1.474052746218592,18.478870955644748
2020-07-23,173.86000061035156,6999600,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,13.349825510402807,1.2711415541865612,23.156559510813018
2020-07-24,172.55999755859375,6256100,-0.09,0.9741,0.9741,3.8964,6.7200340285315034,1.765911177502642,14.354430124542706,6.171771735020548,25.486785089113944
2020-07-27,177.97999572753906,6868800,-0.09,0.9741,0.9741,3.8964,16.42087,1.765911177502642,14.007196613676994,5.506238502646197,19.42915083782309
2020-07-28,176.27000427246094,6125700,-0.09,0.9741,0.9741,3.8964,16.760984999999998,1.765911177502642,15.782601345166059,3.0294413164230765,21.711004757518396
2020-07-29,184.6000061035156,15436600,0.23,0.9201,0.46005,3.7678875,17.06661875,1.765911177502642,7.600215772164977,-1.3055274010976587,17.968579129052156
2020-07-30,192.50999450683597,16803600,0.23,0.25,0.25,3.45835,17.319668749999998,1.765911177502642,0.4207640332949159,-2.7323228179974755,13.204508282318105
